Customer ID,Product ID,Product Category,Purchase Amount,Purchase Date
CUST0237,PROD0021,Books,315.13,2024-11-08
CUST0086,PROD0019,Books,295.45,2024-03-25
CUST0316,PROD0032,Groceries,240.64,2024-02-13
CUST0448,PROD0021,Books,180.62,2024-10-31
CUST0158,PROD0013,Books,274.14,2024-05-19
CUST0137,PROD0039,Books,368.01,2024-03-01
CUST0489,PROD0020,Sports,10.19,2024-12-02
CUST0487,PROD0002,Clothing,433.57,2024-07-11
CUST0468,PROD0040,Sports,171.87,2024-12-13
CUST0193,PROD0018,Electronics,371.51,2024-06-14
CUST0216,PROD0004,Books,8.82,2024-11-24
CUST0393,PROD0040,Sports,173.24,2024-08-16
CUST0441,PROD0042,Electronics,151.66,2024-01-28
CUST0075,PROD0002,Clothing,270.51,2024-04-29
CUST0308,PROD0035,Books,164.23,2024-09-06
CUST0248,PROD0011,Clothing,101.64,2024-08-29
CUST0129,PROD0008,Sports,8.1,2024-09-09
CUST0255,PROD0017,Groceries,122.97,2024-05-19
CUST0321,PROD0002,Clothing,446.07,2024-09-02
CUST0128,PROD0006,Electronics,7.49,2024-07-16
CUST0121,PROD0032,Groceries,479.45,2024-09-14
CUST0062,PROD0016,Clothing,94.55,2024-11-10
CUST0494,PROD0040,Sports,460.58,2024-07-08
CUST0464,PROD0050,Toys,303.81,2024-06-08
CUST0320,PROD0031,Clothing,432.82,2024-10-05
CUST0438,PROD0008,Sports,488.9,2024-05-23
CUST0205,PROD0033,Toys,141.9,2024-05-31
CUST0175,PROD0028,Groceries,178.47,2024-02-23
CUST0256,PROD0022,Clothing,352.36,2024-11-16
CUST0183,PROD0027,Sports,60.3,2024-03-14
CUST0255,PROD0016,Clothing,394.9,2024-12-06
CUST0241,PROD0037,Toys,178.94,2024-09-23
CUST0441,PROD0013,Books,53.34,2024-06-29
CUST0485,PROD0040,Sports,52.26,2024-07-07
CUST0439,PROD0002,Clothing,312.61,2024-01-16
CUST0022,PROD0049,Books,183.49,2024-05-19
CUST0158,PROD0045,Books,23.45,2024-02-28
CUST0359,PROD0028,Groceries,232.03,2024-08-19
CUST0145,PROD0029,Toys,158.9,2024-08-21
CUST0134,PROD0028,Groceries,45.07,2025-01-04
CUST0485,PROD0003,Books,136.39,2024-08-06
CUST0438,PROD0013,Books,394.05,2024-04-23
CUST0025,PROD0014,Books,257.32,2024-06-29
CUST0489,PROD0012,Books,105.74,2024-11-30
CUST0046,PROD0001,Groceries,484.53,2024-05-23
CUST0416,PROD0003,Books,20.32,2024-11-16
CUST0142,PROD0047,Clothing,314.03,2024-04-10
CUST0379,PROD0025,Sports,108.89,2024-09-21
CUST0496,PROD0011,Clothing,347.3,2024-02-01
CUST0074,PROD0049,Books,448.41,2024-02-08
CUST0169,PROD0001,Groceries,241.59,2024-12-03
CUST0115,PROD0046,Sports,309.27,2024-11-24
CUST0185,PROD0046,Sports,168.5,2024-10-22
CUST0235,PROD0009,Sports,93.64,2024-07-30
CUST0193,PROD0023,Books,408.42,2024-11-10
CUST0357,PROD0031,Clothing,279.87,2024-10-24
CUST0205,PROD0035,Books,392.88,2025-01-02
CUST0402,PROD0020,Sports,383.58,2024-09-01
CUST0243,PROD0016,Clothing,32.39,2024-01-12
CUST0076,PROD0026,Books,472.42,2024-06-23
CUST0097,PROD0001,Groceries,327.78,2024-06-01
CUST0143,PROD0030,Books,271.41,2024-10-12
CUST0340,PROD0029,Toys,39.93,2024-06-30
CUST0002,PROD0029,Toys,426.07,2024-10-16
CUST0205,PROD0027,Sports,266.75,2024-03-07
CUST0077,PROD0031,Clothing,337.3,2024-07-29
CUST0354,PROD0049,Books,117.03,2024-08-17
CUST0484,PROD0014,Books,17.77,2024-09-22
CUST0258,PROD0030,Books,408.47,2024-09-08
CUST0016,PROD0050,Toys,23.89,2024-09-28
CUST0347,PROD0031,Clothing,202.92,2024-01-12
CUST0019,PROD0044,Clothing,210.21,2024-10-01
CUST0092,PROD0029,Toys,381.43,2024-08-21
CUST0029,PROD0036,Electronics,29.73,2024-06-23
CUST0027,PROD0034,Toys,313.44,2024-07-03
CUST0262,PROD0031,Clothing,84.44,2024-06-05
CUST0325,PROD0024,Toys,69.03,2024-11-08
CUST0002,PROD0037,Toys,227.75,2024-08-31
CUST0381,PROD0018,Electronics,263.25,2024-11-14
CUST0487,PROD0043,Toys,43.12,2024-03-03
CUST0161,PROD0009,Sports,306.44,2024-04-08
CUST0165,PROD0028,Groceries,360.82,2024-10-05
CUST0410,PROD0017,Groceries,412.89,2024-03-17
CUST0409,PROD0031,Clothing,21.95,2024-04-18
CUST0017,PROD0009,Sports,99.97,2024-09-18
CUST0396,PROD0048,Sports,199.84,2024-05-02
CUST0299,PROD0022,Clothing,409.46,2024-11-12
CUST0328,PROD0020,Sports,456.56,2024-08-16
CUST0472,PROD0019,Books,397.09,2024-11-21
CUST0479,PROD0034,Toys,450.12,2024-10-07
CUST0097,PROD0020,Sports,281.66,2024-06-03
CUST0457,PROD0013,Books,228.55,2024-10-06
CUST0298,PROD0026,Books,336.77,2024-07-03
CUST0494,PROD0030,Books,199.69,2024-09-18
CUST0026,PROD0039,Books,141.3,2024-04-02
CUST0307,PROD0002,Clothing,299.92,2024-11-23
CUST0407,PROD0047,Clothing,473.9,2024-07-08
CUST0395,PROD0014,Books,170.1,2024-05-12
CUST0036,PROD0031,Clothing,429.71,2024-11-03
CUST0120,PROD0001,Groceries,409.1,2024-10-16
CUST0151,PROD0002,Clothing,89.89,2024-07-10
CUST0210,PROD0046,Sports,489.62,2024-09-10
CUST0476,PROD0008,Sports,286.61,2024-01-20
CUST0217,PROD0032,Groceries,133.41,2024-11-24
CUST0430,PROD0050,Toys,235.44,2024-05-04
CUST0383,PROD0035,Books,114.68,2024-09-06
CUST0079,PROD0034,Toys,94.3,2024-10-03
CUST0359,PROD0004,Books,384.11,2024-03-12
CUST0027,PROD0008,Sports,465.15,2024-05-10
CUST0237,PROD0017,Groceries,28.26,2024-06-22
CUST0336,PROD0009,Sports,178.56,2024-07-07
CUST0396,PROD0014,Books,340.75,2024-07-04
CUST0178,PROD0003,Books,126.14,2024-10-10
CUST0301,PROD0024,Toys,331.43,2024-01-09
CUST0441,PROD0035,Books,397.31,2024-03-23
CUST0271,PROD0010,Groceries,91.26,2024-12-09
CUST0365,PROD0011,Clothing,187.37,2024-07-07
CUST0172,PROD0022,Clothing,375.52,2024-06-21
CUST0245,PROD0027,Sports,444.73,2024-01-29
CUST0225,PROD0027,Sports,53.97,2024-03-30
CUST0375,PROD0026,Books,56.62,2024-07-24
CUST0349,PROD0049,Books,195.05,2024-05-01
CUST0243,PROD0047,Clothing,266.44,2024-02-04
CUST0130,PROD0033,Toys,299.66,2024-03-15
CUST0057,PROD0012,Books,357.52,2024-12-29
CUST0270,PROD0034,Toys,258.51,2024-12-07
CUST0043,PROD0015,Books,27.47,2024-02-04
CUST0346,PROD0030,Books,313.44,2024-01-13
CUST0119,PROD0017,Groceries,245.92,2024-07-03
CUST0355,PROD0047,Clothing,38.13,2024-06-07
CUST0472,PROD0046,Sports,422.88,2024-08-01
CUST0023,PROD0037,Toys,181.72,2024-02-29
CUST0190,PROD0020,Sports,212.08,2024-10-14
CUST0182,PROD0030,Books,242.39,2024-06-19
CUST0242,PROD0044,Clothing,36.99,2024-06-26
CUST0321,PROD0047,Clothing,231.16,2024-01-27
CUST0313,PROD0009,Sports,142.49,2024-06-01
CUST0154,PROD0023,Books,279.89,2024-12-12
CUST0441,PROD0028,Groceries,322.37,2024-04-12
CUST0148,PROD0002,Clothing,233.41,2024-07-05
CUST0421,PROD0011,Clothing,303.26,2024-06-19
CUST0189,PROD0017,Groceries,456.12,2024-03-11
CUST0086,PROD0036,Electronics,363.24,2024-04-20
CUST0299,PROD0040,Sports,347.68,2024-07-28
CUST0428,PROD0006,Electronics,173.33,2024-09-30
